"timestamp","texture_a","taste_a","quality_a","texture_b","taste_b","quality_b","age","sweet_savory","hunger","vegan","dairy","exercise","phase","treatment"
"3/13/2024 15:34:56",7,5,8,2,5,4,20,"Sweet",2,"No, not vegan","Yes, I consume dairy","5-7 hours",2,1
"3/13/2024 15:35:11",9,8,8,7,6,7,19,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/13/2024 15:35:43",6,9,7,5,5,5,20,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/13/2024 17:18:35",8,5,6,4,2,5,22,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/15/2024 13:26:19",8,8,8,2,1,2,NA,"",NA,"","","",2,1
"3/15/2024 13:26:50",10,10,10,10,9,10,20,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/15/2024 13:26:51",6,8,8,4,4,3,20,"Savory",2,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/15/2024 13:27:14",8,7,6,1,1,1,20,"Savory",3,"No, not vegan","Yes, I consume dairy","7+ hours",2,1
"3/15/2024 13:27:16",7,8,8,7,5,5,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/15/2024 13:27:22",7,4,5,7,5,6,25,"Savory",2,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/19/2024 15:15:40",9,8,9,6,6,6,18,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/19/2024 15:15:46",9,10,9,1,2,3,18,"Savory",4,"No, not vegan","Yes, I consume dairy","7+ hours",2,1
"3/19/2024 15:15:49",9,9,10,4,4,4,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/19/2024 15:15:58",10,10,10,8,5,5,18,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/19/2024 15:16:00",7,8,7,8,3,5,22,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",2,1
"3/19/2024 15:16:19",4,6,5,7,4,3,20,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/19/2024 15:17:26",10,10,10,3,3,2,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",2,1
"3/20/2024 21:23:58",5,5,5,7,7,5,21,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/28/2024 19:35:17",8,5,6,6,6,5,24,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/12/2024 14:12:07",8,6,6,4,2,3,20,"Savory",2,"No, not vegan","Yes, I consume dairy","5-7 hours",2,0
"3/12/2024 14:12:27",9,1,3,6,7,5,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/12/2024 14:12:34",9,9,10,6,5,4,19,"Sweet",2,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/12/2024 14:12:36",8,8,8,9,7,10,18,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/12/2024 14:12:45",9,9,9,9,8,8,18,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",2,0
"3/12/2024 14:12:46",10,10,10,4,3,4,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/12/2024 14:12:55",8,7,6,7,7,8,18,"Sweet",2,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/12/2024 14:13:03",7,7,5,6,7,4,19,"Savory",1,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/12/2024 14:13:34",9,8,9,7,6,6,18,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,0
"3/12/2024 14:14:40",5,6,5,4,6,5,47,"Savory",3,"No, not vegan","","5-7 hours",2,0
"3/12/2024 15:02:01",9,9,10,6,6,7,18,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,0
"3/12/2024 15:12:43",7,8,8,4,6,7,20,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/12/2024 15:12:46",10,9,9,2,4,5,18,"Savory",3,"No, not vegan","Yes, I consume dairy","5-7 hours",2,0
"3/12/2024 15:13:04",6,7,7,4,5,4,20,"Savory",2,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/12/2024 15:13:33",8,8,7,4,2,1,22,"Sweet",4,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/12/2024 15:16:40",10,10,10,8,6,6,18,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/13/2024 13:34:48",10,9,10,2,4,2,19,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,0
"3/13/2024 13:35:11",8,7,7,9,6,6,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",2,0
"3/13/2024 13:35:17",10,10,10,2,2,4,19,"Savory",5,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/13/2024 13:35:36",4,4,2,5,2,4,18,"Sweet",4,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/13/2024 13:35:37",7,8,7,6,6,6,19,"Sweet",2,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/13/2024 13:35:42",7,5,7,8,8,8,18,"Savory",4,"No, not vegan","Yes, I consume dairy","3-5 hours",2,0
"3/13/2024 13:35:47",7,7,7,6,6,6,18,"Sweet",4,"No, not vegan","Yes, I consume dairy","5-7 hours",2,0
"3/13/2024 13:35:49",7,8,6,9,8,5,19,"Sweet",4,"No, not vegan","Yes, I consume dairy","3-5 hours",2,0
"3/13/2024 13:36:02",6,3,4,3,2,4,19,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/13/2024 13:36:13",7,8,8,6,4,6,18,"Sweet",2,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/13/2024 13:36:18",8,4,8,9,7,7,18,"Savory",2,"No, not vegan","Yes, I consume dairy","7+ hours",2,0
"3/13/2024 13:36:32",7,5,4,8,7,8,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/19/2024 13:14:22",8,9,6,3,2,5,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/19/2024 13:14:57",6,8,5,8,3,3,18,"Savory",3,"No, not vegan","Yes, I consume dairy","5-7 hours",2,0
"3/19/2024 13:15:11",8,6,7,8,6,7,19,"Savory",3,"No, not vegan","Yes, I consume dairy","5-7 hours",2,0
"3/19/2024 13:15:16",10,10,10,8,8,8,21,"Savory",5,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/19/2024 13:16:09",9,8,9,2,4,3,18,"Savory",4,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/19/2024 13:16:52",8,8,8,8,6,6,20,"Savory",5,"No, not vegan","Yes, I consume dairy","3-5 hours",2,0
"3/20/2024 19:01:45",10,10,10,10,10,10,20,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/20/2024 19:02:01",9,8,6,6,7,7,22,"Savory",3,"No, not vegan","No, I do not consume dairy ever","5-7 hours",2,0
"3/20/2024 19:02:14",8,7,7,6,8,7,23,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/20/2024 19:02:20",10,10,10,10,6,6,20,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/20/2024 19:02:25",8,9,9,5,5,5,22,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/20/2024 19:03:06",7,5,8,4,5,4,21,"Savory",2,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/20/2024 19:04:49",7,6,7,8,8,7,19,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"3/20/2024 19:07:19",10,10,10,10,10,10,19,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",2,0
"4/9/2024 13:13:59",9,9,9,8,7,9,20,"Sweet",2,"No, not vegan","Yes, I consume dairy","3-5 hours",3,1
"4/9/2024 13:14:01",7,9,8,8,9,9,20,"Savory",4,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/9/2024 13:14:08",9,9,9,7,7,6,19,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/9/2024 13:14:15",7,9,8,2,1,1,21,"Sweet",2,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/9/2024 13:14:15",8,8,8,4,3,2,18,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",3,1
"4/9/2024 13:14:21",10,7,9,8,5,6,20,"Savory",4,"No, not vegan","Yes, I consume dairy","3-5 hours",3,1
"4/9/2024 13:14:28",7,10,9,10,7,8,18,"Sweet",4,"No, not vegan","Yes, I consume dairy","3-5 hours",3,1
"4/9/2024 13:14:33",9,10,10,4,4,2,19,"Sweet",2,"No, not vegan","Yes, I consume dairy","3-5 hours",3,1
"4/9/2024 13:14:39",9,10,9,8,5,6,20,"Savory",1,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/9/2024 13:15:22",9,10,10,7,7,4,18,"Sweet",1,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/9/2024 14:35:38",8,8,9,7,4,5,19,"Sweet",2,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/9/2024 14:35:44",10,9,10,6,6,6,18,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/9/2024 14:35:47",7,8,8,4,5,3,21,"Sweet",3,"","Yes, I consume dairy","3-5 hours",3,1
"4/9/2024 14:35:59",10,8,10,4,4,4,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",3,1
"4/9/2024 14:36:01",7,5,8,8,4,5,18,"Savory",2,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/9/2024 14:36:07",9,6,8,9,9,8,NA,"Savory",3,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/9/2024 19:18:05",10,10,10,10,6,8,30,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",3,1
"4/9/2024 19:18:21",8,8,9,6,3,3,22,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/9/2024 19:20:43",9,6,5,1,5,3,23,"Sweet",2,"No, not vegan","Yes, I consume dairy","3-5 hours",3,1
"4/9/2024 19:21:58",7,7,7,7,7,7,27,"Savory",1,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/9/2024 19:22:12",2,7,5,7,7,5,32,"Sweet",2,"No, not vegan","Yes, I consume dairy","5-7 hours",3,1
"4/9/2024 19:23:19",5,5,7,5,5,5,27,"Savory",2,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/9/2024 21:30:56",6,7,6,8,8,7,28,"Sweet",4,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/12/2024 13:08:52",8,7,9,6,3,6,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/12/2024 13:09:12",8,8,7,6,4,4,19,"Savory",1,"No, not vegan","Yes, I consume dairy","5-7 hours",3,1
"4/12/2024 13:09:17",7,8,7,4,9,5,20,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/12/2024 13:09:38",10,10,10,1,1,1,NA,"",5,"No, not vegan","","0-2 hours",3,1
"4/12/2024 13:09:39",10,10,10,9,10,9,21,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/12/2024 13:09:49",6,5,9,9,9,8,21,"Savory",3,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/12/2024 14:58:01",8,8,8,5,6,6,20,"Savory",3,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/12/2024 14:58:09",9,9,7,9,8,7,NA,"Savory",2,"No, not vegan","Yes, I consume dairy","5-7 hours",3,1
"4/12/2024 14:58:15",8,5,8,4,8,5,NA,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/12/2024 14:58:49",4,8,6,2,4,3,21,"Sweet",5,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/12/2024 14:58:49",7,8,8,5,7,7,21,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",3,1
"4/12/2024 15:20:24",9,9,9,2,2,2,NA,"",NA,"","","",3,1
"4/12/2024 15:21:32",9,9,10,5,5,5,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",3,1
"4/9/2024 12:12:45",8,9,8,7,7,6,28,"Sweet",5,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/9/2024 12:12:53",9,8,9,6,6,4,28,"Savory",4,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/9/2024 12:13:08",7,5,8,5,3,3,38,"Savory",5,"No, not vegan","Yes, I consume dairy","7+ hours",3,0
"4/9/2024 12:13:13",7,9,9,5,3,4,25,"Sweet",1,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/9/2024 12:13:17",9,9,10,8,7,6,28,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/9/2024 12:13:28",6,8,7,4,6,5,23,"Sweet",3,"No, not vegan","No, I do not consume dairy ever","0-2 hours",3,0
"4/9/2024 12:13:44",8,5,8,8,10,10,21,"Savory",5,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/9/2024 12:13:54",10,10,10,5,7,5,26,"Sweet",5,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/9/2024 12:14:36",6,7,7,3,6,4,28,"Sweet",4,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/9/2024 12:14:38",8,8,8,9,9,9,27,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/9/2024 12:14:41",3,8,6,9,10,10,31,"Sweet",2,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/9/2024 12:14:47",8,8,7,7,8,7,26,"Sweet",4,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/9/2024 12:14:54",8,8,8,5,5,4,29,"Savory",5,"No, not vegan","Yes, I consume dairy","7+ hours",3,0
"4/9/2024 12:15:12",8,8,7,7,8,6,28,"Savory",5,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/9/2024 12:15:49",10,10,10,9,8,8,26,"Savory",4,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/9/2024 13:13:53",6,4,5,7,6,7,20,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/9/2024 13:46:25",10,9,9,4,3,2,18,"Savory",2,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 13:44:23",8,7,7,6,7,6,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",3,0
"4/10/2024 13:44:24",6,6,6,4,7,6,18,"Sweet",4,"","Yes, I consume dairy","7+ hours",3,0
"4/10/2024 13:44:40",9,7,4,7,9,8,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/10/2024 13:44:48",6,3,5,7,8,8,20,"Sweet",2,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 13:44:49",10,7,9,10,6,9,20,"Sweet",2,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/10/2024 13:45:00",4,8,4,6,7,7,19,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 13:45:04",7,9,8,5,6,5,19,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/10/2024 13:45:06",8,8,7,4,5,4,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 13:45:16",6,7,5,8,8,7,19,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 13:45:17",10,6,10,10,10,8,20,"Sweet",4,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 13:45:28",7,5,5,7,8,8,20,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 13:45:28",4,4,2,8,9,9,20,"Sweet",4,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 13:45:41",3,5,5,8,8,8,19,"Savory",4,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 13:45:41",6,5,3,10,9,10,19,"Sweet",2,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 13:47:29",9,7,9,7,5,6,19,"Sweet",2,"No, not vegan","Yes, I consume dairy","7+ hours",3,0
"4/10/2024 15:45:24",9,6,4,3,4,4,19,"Savory",2,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/10/2024 15:46:10",8,8,8,4,7,4,19,"Sweet",2,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/10/2024 15:46:17",8,8,4,9,9,9,26,"Savory",3,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 15:46:19",4,6,5,4,5,5,20,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/10/2024 15:46:19",6,7,6,5,7,6,19,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/10/2024 15:46:23",5,4,1,8,6,3,20,"Sweet",1,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 15:46:34",5,6,4,7,7,6,19,"Sweet",2,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 15:46:39",9,5,5,9,9,10,NA,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 15:46:45",7,6,5,7,9,7,18,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 15:46:49",5,4,4,8,8,10,19,"Sweet",1,"No, not vegan","Yes, I consume dairy","3-5 hours",3,0
"4/10/2024 15:46:51",9,8,7,9,9,9,20,"Savory",4,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 15:46:58",7,6,5,8,8,7,19,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 15:47:45",9,7,8,9,9,9,19,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
"4/10/2024 15:47:59",6,3,2,3,8,3,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",3,0
"4/10/2024 15:48:26",5,4,1,8,6,3,20,"Sweet",1,"No, not vegan","Yes, I consume dairy","0-2 hours",3,0
