Timestamp,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,Age in years,What's your general preference?,"On a scale of 1-5, how hungry are you?",Are you vegan?,Do you consume dairy?,How many hours a week do you exercise?
4/10/2024 13:45:28,4,4,2,8,9,9,20,Sweet,4,"No, not vegan","Yes, I consume dairy",5-7 hours
4/10/2024 13:45:41,3,5,5,8,8,8,19,Savory,4,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 13:45:41,6,5,3,10,9,10,19,Sweet,2,"No, not vegan","Yes, I consume dairy",5-7 hours
4/10/2024 13:47:29,9,7,9,7,5,6,19,Sweet,2,"No, not vegan","Yes, I consume dairy",7+ hours
4/10/2024 15:45:24,9,6,4,3,4,4,19,Savory,2,"No, not vegan","Yes, I consume dairy",3-5 hours
4/10/2024 15:46:10,8,8,8,4,7,4,19,Sweet,2,"No, not vegan","Yes, I consume dairy",3-5 hours
4/10/2024 15:46:17,8,8,4,9,9,9,26,Savory,3,"No, not vegan","Yes, I consume dairy",5-7 hours
4/10/2024 15:46:19,4,6,5,4,5,5,20,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
4/10/2024 15:46:19,6,7,6,5,7,6,19,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
4/10/2024 15:46:23,5,4,1,8,6,3,20,Sweet,1,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 15:46:34,5,6,4,7,7,6,19,Sweet,2,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 15:46:39,9,5,5,9,9,10,,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 15:46:45,7,6,5,7,9,7,18,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 15:46:49,5,4,4,8,8,10,19,Sweet,1,"No, not vegan","Yes, I consume dairy",3-5 hours
4/10/2024 15:46:51,9,8,7,9,9,9,20,Savory,4,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 15:46:58,7,6,5,8,8,7,19,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 15:47:45,9,7,8,9,9,9,19,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 15:47:59,6,3,2,3,8,3,19,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
4/10/2024 15:48:26,5,4,1,8,6,3,20,Sweet,1,"No, not vegan","Yes, I consume dairy",0-2 hours
